cell_id,algorithm,geometry,workload,seed,eval_seed,training_episodes,wall_clock_time_s,convergence_status,final_reward,final_loss,total_tasks,completed_tasks,failed_tasks,completion_ratio,mean_delay_s,std_delay_s,mean_energy_j,std_energy_j,comm_delay_s,comp_delay_s,wait_delay_s,realization_hash,checkpoint_sha256,git_sha,invariants_passed
grid_200m_CoTOP_w20_seed3,CoTOP,grid_200m,20,3,30003,500,307.82,STABLE,-31.2891,8.0067,200,200,0,1.0,0.2361,0.1011,0.1363,0.0672,0.2334,0.0027,0.0,c87ffc566d12c41fee78283f3c9d06bdd7cbaab0827f9c2786b56392a69c3dd8,ddc2e94c4694f0d99a2b191cfc3b303ae571db508d6dcc6a36725d9855062d43,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_CoTOP_w20_seed4,CoTOP,grid_200m,20,4,30004,500,524.54,STABLE,-33.1921,8.4458,200,200,0,1.0,0.268,0.0952,0.138,0.0641,0.2653,0.0027,0.0,589d34324abcbcb03a8e18913ab924daff3f3d52913d345a584e667191895189,04b915a718fbb467007b20c067d41481be215a18b8413dbef97bfb8f6b637f8f,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_CoTOP_w30_seed0,CoTOP,grid_200m,30,0,30000,500,459.84,STABLE,-315.8361,322.3485,300,300,0,1.0,0.2937,0.0992,2.0999,0.6619,0.2727,0.021,0.0,19430c329c65946bf02a543a57403f3554a924148b80e42d126aca9c1735c890,05bdfb27c0ca52937abd22796979d0de4060440b0bf8b6b5e6ca31ae1671e275,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_CoTOP_w30_seed1,CoTOP,grid_200m,30,1,30001,500,460.99,STABLE,-50.0343,8.5979,300,300,0,1.0,0.2765,0.0976,0.141,0.0667,0.2738,0.0028,0.0,a4f8e883710373708659204b013aa06b55333c27b5b86ba8485b3904b24764ba,03562bb2143e0ce5266a1cef1c070d156348495eb69273a0c34a7bf451e6f7e7,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_CoTOP_w30_seed2,CoTOP,grid_200m,30,2,30002,500,478.64,STABLE,-236.5507,567.9741,300,300,0,1.0,0.2802,0.0957,2.0166,0.6794,0.2599,0.0202,0.0,7e2fdfb718c2506a4403422af3116182596f1f199f0f95190c7097c71376609f,f363a008e1369b360205e6ff8a1383aa38a87b1daf4d460a96b73c3c978fbe50,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_CoTOP_w30_seed3,CoTOP,grid_200m,30,3,30003,500,469.27,STABLE,-299.6052,385.8156,300,300,0,1.0,0.2723,0.1027,1.9641,0.8562,0.2526,0.0198,0.0,c3017e2ab7a99cf10ec2ed7dae7da53626f1df66c049b4b135d0b4677d6eaee3,5aaf8b5565e1a5b39e83a3291afbd419e5191556df18841f1319fc139d3c111c,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_CoTOP_w30_seed4,CoTOP,grid_200m,30,4,30004,500,466.41,STABLE,-291.5736,299.7779,300,300,0,1.0,0.2956,0.0967,2.0468,0.6013,0.2751,0.0205,0.0,ed79bf3a948868e9d980ee441cbaeb72b2a3fb0456d1cf721d48d1f77c97599e,50b46e2e3bf5b8a430c6dfad59b7a7e666ee59694dddb51f2ba29d0479cb3621,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_CoTOP_w40_seed0,CoTOP,grid_200m,40,0,30000,500,626.12,STABLE,-409.7561,302.9849,400,400,0,1.0,0.291,0.0931,1.9406,0.9037,0.2715,0.0196,0.0,46148cdd621e3648e3a6a785cc820a9b28fcaa477017e5adb878ef20b20fa801,d5a367cb8bd99814b1b1ff68c8e950a5246b47cd23441c7943d90bff1c7be326,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_CoTOP_w40_seed1,CoTOP,grid_200m,40,1,30001,500,575.83,STABLE,-432.1332,496.9089,400,400,0,1.0,0.2923,0.0971,1.813,1.0433,0.2739,0.0184,0.0,f01abcdc5304947d68420ab99e942b03822d59e1f8f5122d72a3eb78941cce87,0964b1d4c94bf289fee30238fd182b148d3353efa9e247d79062103e4eb8357b,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
grid_200m_CoTOP_w40_seed2,CoTOP,grid_200m,40,2,30002,500,632.27,STABLE,-412.8189,652.9961,400,400,0,1.0,0.2816,0.093,1.7697,1.0526,0.2637,0.018,0.0,dfd7bcdf0c438435dc405758f14299f466ecdcbd7f33db975e56ac9df176f7f8,1659f7ddf0bc1a0f7bfa1c548cbd1b37a175a05a2c946d1f073ef5910fba2290,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,True
