algorithm,geometry,workload,seed,realization_hash,mean_delay,mean_energy,completion_ratio,N_generated,N_completed,N_failed,N_pending
Greedy,grid_200m,30,3,c3017e2ab7a99cf10ec2ed7dae7da53626f1df66c049b4b135d0b4677d6eaee3,0.2705,1.7617,1.0,300,300,0,0
Local,grid_200m,30,3,c3017e2ab7a99cf10ec2ed7dae7da53626f1df66c049b4b135d0b4677d6eaee3,0.2553,0.139,1.0,300,300,0,0
CoTOP,grid_200m,30,3,c3017e2ab7a99cf10ec2ed7dae7da53626f1df66c049b4b135d0b4677d6eaee3,0.2723,1.9641,1.0,300,300,0,0
DDQN,grid_200m,30,3,c3017e2ab7a99cf10ec2ed7dae7da53626f1df66c049b4b135d0b4677d6eaee3,0.2553,0.139,1.0,300,300,0,0
Greedy,grid_200m,30,4,ed79bf3a948868e9d980ee441cbaeb72b2a3fb0456d1cf721d48d1f77c97599e,0.2943,1.896,1.0,300,300,0,0
Local,grid_200m,30,4,ed79bf3a948868e9d980ee441cbaeb72b2a3fb0456d1cf721d48d1f77c97599e,0.2778,0.1388,1.0,300,300,0,0
CoTOP,grid_200m,30,4,ed79bf3a948868e9d980ee441cbaeb72b2a3fb0456d1cf721d48d1f77c97599e,0.2956,2.0468,1.0,300,300,0,0
DDQN,grid_200m,30,4,ed79bf3a948868e9d980ee441cbaeb72b2a3fb0456d1cf721d48d1f77c97599e,0.2778,0.1388,1.0,300,300,0,0
Greedy,grid_200m,40,0,46148cdd621e3648e3a6a785cc820a9b28fcaa477017e5adb878ef20b20fa801,0.2896,1.7834,1.0,400,400,0,0
Local,grid_200m,40,0,46148cdd621e3648e3a6a785cc820a9b28fcaa477017e5adb878ef20b20fa801,0.2742,0.1381,1.0,400,400,0,0
CoTOP,grid_200m,40,0,46148cdd621e3648e3a6a785cc820a9b28fcaa477017e5adb878ef20b20fa801,0.291,1.9406,1.0,400,400,0,0
DDQN,grid_200m,40,0,46148cdd621e3648e3a6a785cc820a9b28fcaa477017e5adb878ef20b20fa801,0.2742,0.1381,1.0,400,400,0,0
Greedy,grid_200m,40,1,f01abcdc5304947d68420ab99e942b03822d59e1f8f5122d72a3eb78941cce87,0.2923,1.813,1.0,400,400,0,0
Local,grid_200m,40,1,f01abcdc5304947d68420ab99e942b03822d59e1f8f5122d72a3eb78941cce87,0.2767,0.1416,1.0,400,400,0,0
CoTOP,grid_200m,40,1,f01abcdc5304947d68420ab99e942b03822d59e1f8f5122d72a3eb78941cce87,0.2923,1.813,1.0,400,400,0,0
DDQN,grid_200m,40,1,f01abcdc5304947d68420ab99e942b03822d59e1f8f5122d72a3eb78941cce87,0.2767,0.1416,1.0,400,400,0,0
Greedy,grid_200m,40,2,dfd7bcdf0c438435dc405758f14299f466ecdcbd7f33db975e56ac9df176f7f8,0.2824,1.8518,1.0,400,400,0,0
Local,grid_200m,40,2,dfd7bcdf0c438435dc405758f14299f466ecdcbd7f33db975e56ac9df176f7f8,0.2664,0.1389,1.0,400,400,0,0
CoTOP,grid_200m,40,2,dfd7bcdf0c438435dc405758f14299f466ecdcbd7f33db975e56ac9df176f7f8,0.2816,1.7697,1.0,400,400,0,0
DDQN,grid_200m,40,2,dfd7bcdf0c438435dc405758f14299f466ecdcbd7f33db975e56ac9df176f7f8,0.2664,0.1389,1.0,400,400,0,0
Greedy,grid_200m,40,3,3de53f2e8034c1901186409f18d123f303fdccd765e32458dd4a815d43815382,0.2748,1.7347,1.0,400,400,0,0
Local,grid_200m,40,3,3de53f2e8034c1901186409f18d123f303fdccd765e32458dd4a815d43815382,0.2599,0.1383,1.0,400,400,0,0
CoTOP,grid_200m,40,3,3de53f2e8034c1901186409f18d123f303fdccd765e32458dd4a815d43815382,0.277,1.9827,1.0,400,400,0,0
DDQN,grid_200m,40,3,3de53f2e8034c1901186409f18d123f303fdccd765e32458dd4a815d43815382,0.2599,0.1383,1.0,400,400,0,0
Greedy,grid_200m,40,4,ed764142a785113bdb59d6698df8a30d858931050450763aead92a4f5c28d817,0.2912,1.8349,1.0,400,400,0,0
Local,grid_200m,40,4,ed764142a785113bdb59d6698df8a30d858931050450763aead92a4f5c28d817,0.2753,0.1392,1.0,400,400,0,0
CoTOP,grid_200m,40,4,ed764142a785113bdb59d6698df8a30d858931050450763aead92a4f5c28d817,0.2753,0.1392,1.0,400,400,0,0
DDQN,grid_200m,40,4,ed764142a785113bdb59d6698df8a30d858931050450763aead92a4f5c28d817,0.2753,0.1392,1.0,400,400,0,0
