task_idx,delay_s,energy_j,comm_delay_s,comp_delay_s,wait_delay_s
157,0.5569072410516971,7.62426212593024,0.48884457285482863,0.00724554831069147,0.06081711988617701
158,0.4276887977807172,4.139485387795866,0.40772353700721764,0.008635027126164938,0.011330233647334627
159,0.4518545707272621,0.2874376195661194,0.43566318664360304,0.0056616197539936675,0.01052976432966539
160,1.5271593108915422,0.16398158074144578,1.5241845161799492,0.002974794711592926,0.0
161,1.7229908627819377,10.664120006613059,1.720505460201106,0.0024854025808315793,0.0
162,1.3616749039221079,0.23413962062899102,1.3542881744328217,0.004411934777693256,0.002974794711592926
163,1.3842371466045933,5.9109406607235195,1.3802119807113078,0.004025165893285442,0.0
164,1.4303398116151866,6.203111943493144,1.4197143330731345,0.006600312648766582,0.004025165893285442
165,1.2682418153565804,0.2208583537687536,1.2566892566432477,0.004165829224046422,0.007386729489286183
166,1.6181609336393346,0.16412051034850508,1.6036466940578435,0.002961680868158533,0.011552558713332604
167,1.7285799609126076,0.4960885007943967,1.7044848482848853,0.009580873046230957,0.014514239581491136
168,1.7653340112017402,12.458223086914622,1.76282390891143,0.0025101022903102205,0.0
169,1.7922299959593893,7.498322274523233,1.7788102712760743,0.0027942461412627964,0.010625478542052024
170,1.6114256168606382,0.35909424198310747,1.5804647123357212,0.0068657918971950045,0.02409511262772209
171,1.6148097020889387,8.496791472060545,1.6127789062465288,0.0020307958424100794,0.0
172,1.1650036716183814,4.817754361644988,1.1504094973516166,0.0011744495834500961,0.013419724683314819
173,1.5286304049733093,6.453604449309403,1.5098865876130625,0.004149643093481655,0.014594174266764915
174,1.3824299806104392,7.450577236227628,1.3744839939804243,0.005915190787604552,0.0020307958424100794
175,1.3364487372969769,5.8403576428868895,1.309217601370333,0.008487318566397454,0.018743817360246568
176,1.1346508878680865,4.941266186801449,1.0995686845703965,0.007851067371046244,0.027231135926644022
177,0.8969041624842283,7.13103611137911,0.8947681737103604,0.002135988773867856,0.0
178,0.9115614655861246,7.395551539172608,0.9033459489650337,0.0060795278472229675,0.002135988773867856
179,0.9139593509875032,7.204026208185335,0.9035225389813373,0.0022212953850750785,0.008215516621090824
180,1.9672039467823421,0.433278950001171,1.9589301538130812,0.008273792969260804,0.0
181,1.8144175141304208,0.4647061232062988,1.797209040505135,0.008934680656024948,0.008273792969260804
182,2.123528128982018,16.98381152323893,2.116092996636573,0.0074351323454452155,0.0
183,1.9789725579724255,0.4424513471365874,1.9533057185481177,0.008458365799022123,0.017208473625285752
184,1.8750003931991848,13.326306485223219,1.870144991080072,0.004855402119112701,0.0
185,1.7118734386479442,0.4500463338165339,1.6775411807834624,0.008665418440173987,0.025666839424307874
186,1.6497178051237418,11.931246321335703,1.635007803840997,0.009854599163632042,0.004855402119112701
187,1.7952593570962156,12.78373440915127,1.7729451980773503,0.007604157736120527,0.014710001282744743
188,1.940340820791522,11.972113241627646,1.938390970955726,0.0019498498357959874,0.0
189,1.3802624330329403,9.872560965571886,1.3492896984872627,0.008658575526812132,0.022314159018865267
190,1.9446429363505389,15.290901450298858,1.9352349152581754,0.0019728887469184593,0.0074351323454452155
191,1.5132467260594018,6.48567725190986,1.5083265556223668,0.0049201704370350485,0.0
192,1.2572466012687773,8.988951634773725,1.2167413035231067,0.009532563199993281,0.0309727345456774
193,1.3830031368207294,9.567189078034016,1.3384267585013074,0.004071080573751548,0.04050529774567068
194,1.147649591106481,8.068895224320764,1.0948927215756061,0.008180491211452869,0.04457637831942223
195,1.1512966464941672,5.04013700159685,1.1398834907190576,0.006492985338074686,0.0049201704370350485
196,1.3594835823743796,9.456248841746525,1.2994160590905146,0.007310653752989815,0.0527568695308751
197,0.8723959151768039,0.36311595439999067,0.8309675317306683,0.007096125581653679,0.034332257864481866
198,0.9725329009775157,0.4418564763737542,0.922451878379581,0.008652639151799167,0.041428383446135544
199,0.948086548999617,0.3411726814688827,0.8913603448412729,0.0066451815604093994,0.050081022597934705
