seed,episode,method,reward,delay,energy,completion_ratio,violation_ratio,total_tasks,actions_taken,collab_rate
42,15,wo_co,-48.32026745434797,4.524923380718018,0.3071033647167784,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,16,cotop,-48.06702321926791,4.492671498463793,0.31403082346299777,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,16,local,-48.04863680707242,4.425131936406352,0.37973174430088835,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,16,greedy,-92.3341867243649,4.503933997991368,4.72948467444512,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,16,wo_md,-47.757192612281536,4.435296289366528,0.3404229718616263,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,16,wo_tp,-104.68692293163953,4.633468371482083,5.835223921681871,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,16,wo_co,-51.26206478101523,4.812043066029778,0.31416341207174403,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,17,cotop,-47.03702536952403,4.376489093288759,0.32721344366364435,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,17,local,-43.20683958997737,4.046146139599989,0.2745378193977496,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,17,greedy,-94.5180508425833,4.629059468488647,4.822745615769682,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,17,wo_md,-46.85159305583569,4.382783808065442,0.3023754975181282,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,17,wo_tp,-92.97147659935476,4.1051085508330285,5.192039109102447,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,17,wo_co,-41.72746663252402,3.8579150324308698,0.3148316308215328,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,18,cotop,-45.1797183073449,4.200007475661758,0.31796435507273213,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,18,local,-51.015794955988156,4.821772164607156,0.2798073309916612,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,18,greedy,-86.66033880315334,4.20754746031756,4.458486419997773,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,18,wo_md,-48.277737989549244,4.537219017278587,0.2905547816763361,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,18,wo_tp,-112.21475976628996,4.967837527663106,6.25363844896589,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,18,wo_co,-51.6465817020955,4.82536590174672,0.33929226846283067,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,19,cotop,-50.24110973783679,4.70137565991305,0.32273531387062837,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,19,local,-47.16266715544977,4.367815796975104,0.3484509185698724,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,19,greedy,-94.17406990963454,4.557777903764483,4.859629087198971,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,19,wo_md,-45.726442626497445,4.287485414285459,0.28515884836428634,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,19,wo_tp,-105.90401209298761,4.702880004066087,5.887521205232678,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,19,wo_co,-52.2044078380224,4.876397433238361,0.3440433505638793,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,20,cotop,-48.12355678192967,4.506672966334741,0.3056827118582267,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,20,local,-47.41653258896731,4.438452194062424,0.3032010648343061,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,20,greedy,-84.95279414710684,4.201139492171543,4.2941399225391415,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,20,wo_md,-49.577592647172864,4.643481594944834,0.31427766977245297,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,20,wo_tp,-92.76106218945631,4.105372928876987,5.170733290068645,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,20,wo_co,-44.2098405054114,4.0537982787854485,0.3671857717556914,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,21,cotop,-46.62474580567591,4.318542104082322,0.3439324764852699,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,21,local,-47.53139090335572,4.462630659242693,0.29050843109287927,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,21,greedy,-84.24267497632299,4.262774343994474,4.161493153637825,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,21,wo_md,-45.44008911376903,4.243597586946713,0.3004113244301893,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,21,wo_tp,-111.29784635534382,4.93967948684657,6.190105148687812,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,21,wo_co,-46.53627657897538,4.348799440371868,0.30482821752567024,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,22,cotop,-47.38764039086212,4.390910499182342,0.34785353990386986,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,22,local,-45.150042790000334,4.201060536202568,0.3139437427974662,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,22,greedy,-81.2845635908162,4.019519238079472,4.108937121002151,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,22,wo_md,-48.15685945325957,4.5012122594380966,0.31447368588786245,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,22,wo_tp,-98.18809720455863,4.328683113216655,5.490126607239207,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,22,wo_co,-45.7665784680655,4.270614446867058,0.30604339993949153,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,23,cotop,-47.444854809918276,4.366319963760155,0.37816551723167374,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,23,local,-48.18060736577192,4.548999712205426,0.26906102437176543,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,23,greedy,-93.35503489987848,4.593726660712937,4.7417768292749125,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,23,wo_md,-50.52865039065674,4.690157917999841,0.36270712106583475,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,23,wo_tp,-111.16624566948992,4.939279908993008,6.177344657955983,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
