seed,episode,reward,actor_loss,critic_loss,entropy,completion_ratio_pct,avg_delay_s,avg_wait_delay_s,avg_energy_J,avg_queue_Mcycles,max_queue_Mcycles,total_tasks,duration_s
2,10,-1592.4997,-425.606354,51748.585938,1.943756,100.0,1.9824,0.0154,3.3259,11.44,94.9,600,16.185
2,11,-1618.1471,-428.623627,52836.292969,1.943802,100.0,1.9791,0.0144,3.4148,11.5,100.98,600,15.897
2,12,-1615.001,-426.063171,52972.035156,1.943854,100.0,1.9821,0.014,3.4013,11.11,87.05,600,15.437
2,13,-1654.6462,-436.015076,54906.941406,1.943908,100.0,1.9492,0.0129,3.5663,11.55,97.39,600,15.423
2,14,-1620.5135,-433.853638,53569.714844,1.943965,100.0,1.977,0.0141,3.4248,11.39,89.4,600,15.63
2,15,-1562.4685,-417.806091,50264.113281,1.944022,100.0,1.9389,0.0141,3.2693,11.27,110.27,600,15.41
2,16,-1604.5165,-430.702606,53476.808594,1.944074,100.0,1.9428,0.0132,3.4056,11.38,97.15,600,15.497
2,17,-1582.4867,-421.577484,50908.894531,1.94412,100.0,1.9498,0.0155,3.3251,11.36,100.2,600,15.695
2,18,-1676.6882,-444.531769,56688.492188,1.944161,100.0,1.937,0.0121,3.652,11.59,93.1,600,15.708
2,19,-1620.0808,-430.282043,52893.671875,1.9442,100.0,1.9369,0.0138,3.4634,11.93,93.19,600,15.675
2,20,-1656.5772,-438.351135,55171.855469,1.944233,100.0,1.9627,0.0135,3.5592,11.73,95.76,600,16.054
2,21,-1594.0382,-422.636444,51540.484375,1.944274,100.0,1.9424,0.014,3.3711,11.11,89.57,600,15.83
2,22,-1700.7032,-452.162292,58579.035156,1.944317,100.0,1.9704,0.0129,3.6986,11.34,97.98,600,16.316
2,23,-1596.3884,-424.167236,52249.480469,1.944359,100.0,1.9491,0.0147,3.3722,11.53,95.38,600,15.404
2,24,-1618.4464,-432.117737,53813.828125,1.944397,100.0,1.9446,0.0146,3.4502,11.74,109.3,600,16.728
2,25,-1639.8366,-434.846771,54165.917969,1.944436,100.0,2.0014,0.0142,3.4648,11.4,94.39,600,16.426
2,26,-1619.2174,-432.128632,53615.25,1.944472,100.0,1.9217,0.0124,3.4757,11.55,102.1,600,16.795
2,27,-1637.1377,-430.570312,52933.691406,1.944508,100.0,1.9442,0.0141,3.5129,11.68,96.48,600,17.03
2,28,-1639.7201,-428.563477,52779.125,1.944543,100.0,1.9573,0.0137,3.5084,11.27,89.22,600,15.869
2,29,-1625.2008,-431.708893,53116.308594,1.944571,100.0,1.97,0.014,3.4473,11.75,103.24,600,16.667
2,30,-1658.6701,-439.909332,55760.101562,1.94459,100.0,1.97,0.0137,3.5589,11.43,101.8,600,16.465
2,31,-1608.97,-425.600708,52027.664062,1.944612,100.0,1.9626,0.0141,3.4007,11.35,90.69,600,16.201
2,32,-1669.4738,-443.214417,56113.285156,1.944646,100.0,1.9652,0.0131,3.5997,11.26,84.42,600,15.856
2,33,-1611.2998,-427.880951,52539.292969,1.944678,100.0,1.9828,0.0143,3.3882,11.58,95.93,600,15.804
2,34,-1605.5753,-424.165222,51887.859375,1.944709,100.0,1.9064,0.0143,3.4455,11.44,96.35,600,17.352
2,35,-1596.0588,-422.062836,50809.214844,1.94474,100.0,1.939,0.0136,3.3812,11.51,89.59,600,16.162
2,36,-1694.1162,-448.57901,58030.925781,1.94477,100.0,1.9857,0.0136,3.6614,11.47,95.05,600,15.101
2,37,-1639.3427,-435.07608,54406.320312,1.944803,100.0,1.9681,0.013,3.4964,11.12,99.74,600,15.287
2,38,-1626.8378,-425.495758,52148.4375,1.944833,100.0,2.001,0.0152,3.4218,11.71,101.38,600,15.153
2,39,-1659.4361,-440.331879,56061.21875,1.944861,100.0,1.9284,0.0142,3.603,11.71,92.77,600,15.158
2,40,-1635.5672,-431.438995,53383.363281,1.944888,100.0,1.9832,0.0137,3.4687,11.44,95.83,600,15.155
2,41,-1647.7086,-437.468689,55202.527344,1.944923,100.0,1.9293,0.013,3.5631,11.79,97.54,600,14.9
2,42,-1647.7113,-439.204956,55197.296875,1.944949,100.0,1.9759,0.0144,3.5165,11.39,99.1,600,15.056
2,43,-1701.8698,-450.709595,58347.734375,1.944974,100.0,2.0009,0.0139,3.672,11.35,86.79,600,15.662
2,44,-1654.3239,-440.441498,55152.191406,1.944995,100.0,1.9562,0.014,3.5583,11.41,98.42,600,13.707
