geometry,workload,workload_int,seed,CoTOP_mean_delay,CoTOP_mean_energy,CoTOP_completion_ratio,CoTOP_tasks_generated,CoTOP_tasks_completed,CoTOP_tasks_failed,CoTOP_mean_comm_delay,CoTOP_mean_comp_delay,CoTOP_mean_wait_delay,CoTOP_mean_queue_backlog,CoTOP_fail_deadline_ratio,CoTOP_fail_coverage_ratio,CoTOP_fail_dual_ratio,CoTOP_fail_departure_ratio,DDQN_mean_delay,DDQN_mean_energy,DDQN_completion_ratio,DDQN_tasks_generated,DDQN_tasks_completed,DDQN_tasks_failed,DDQN_mean_comm_delay,DDQN_mean_comp_delay,DDQN_mean_wait_delay,DDQN_mean_queue_backlog,DDQN_fail_deadline_ratio,DDQN_fail_coverage_ratio,DDQN_fail_dual_ratio,DDQN_fail_departure_ratio,delta_delay,delta_energy,delta_completion_ratio,delta_comm_delay,delta_comp_delay,delta_wait_delay,delta_queue_backlog
grid_200m,w30,30,42,0.6819143847524503,3.3571637067063085,1.0,300,300,0,0.6233323484224345,0.00472286552432562,0.05385917080569023,21190857.523840882,0.0,0.0,0.0,0.0,0.6512617189790983,2.2821771865471794,1.0,300,300,0,0.6125824832208431,0.004987491640616972,0.03369174411763821,41315859.438752085,0.0,0.0,0.0,0.0,0.030652665773351906,1.074986520159129,0.0,0.01074986520159138,-0.000264626116291352,0.02016742668805202,-20125001.914911203
grid_200m,w30,30,43,0.6624111729895327,3.72400282486833,1.0,300,300,0,0.6279922110195715,0.00428510356244281,0.030133858407518255,16575105.410545992,0.0,0.0,0.0,0.0,0.6484116477891962,3.3081759158050517,1.0,300,300,0,0.6238339419289387,0.004359993536185201,0.020217712324072185,20918155.16788202,0.0,0.0,0.0,0.0,0.013999525200336427,0.41582690906327846,0.0,0.004158269090632771,-7.48899737423904e-05,0.00991614608344607,-4343049.75733603
grid_200m,w30,30,44,0.673136878916691,3.5669645575623106,1.0,300,300,0,0.609353365365529,0.004337423203618237,0.0594460903475437,15179297.405271936,0.0,0.0,0.0,0.0,0.6293134097261366,2.559722414635851,1.0,300,300,0,0.5992809439362645,0.004605296519642216,0.025427169270229963,35177849.99515704,0.0,0.0,0.0,0.0,0.043823469190554465,1.0072421429264597,0.0,0.010072421429264455,-0.00026787331602397876,0.03401892107731374,-19998552.589885104
grid_200m,w30,30,45,0.6439022006689968,2.103866984538284,1.0,300,300,0,0.6053560374148197,0.005007822120206736,0.03353834113397038,44951320.07583617,0.0,0.0,0.0,0.0,0.6318947239714295,2.336361099653199,1.0,300,300,0,0.6076809785659688,0.004930714661313183,0.01928303074414753,48504462.34043869,0.0,0.0,0.0,0.0,0.012007476697567299,-0.23249411511491536,0.0,-0.002324941151149118,7.710745889355324e-05,0.014255310389822851,-3553142.2646025196
grid_200m,w30,30,46,0.6564226697453049,0.6363761338395937,1.0,300,300,0,0.5890612345393916,0.005366951513008275,0.06199448369290511,77838451.28887953,0.0,0.0,0.0,0.0,0.6372744357103156,2.517482077855212,1.0,300,300,0,0.6078722939795478,0.004779760421250666,0.024622381309517074,34523371.772612154,0.0,0.0,0.0,0.0,0.01914823403498933,-1.8811059440156181,0.0,-0.018811059440156153,0.0005871910917576084,0.037372102383388034,43315079.516267374
grid_200m,w40,40,42,0.6965172736706624,0.9608555372970449,1.0,400,400,0,0.6019151230407236,0.005178000702836603,0.08942414992710206,94559356.62000275,0.0,0.0,0.0,0.0,0.6776418807143452,0.9646814293227893,1.0,400,400,0,0.6019533819609811,0.005135879083604674,0.07055261966975938,95290409.9569421,0.0,0.0,0.0,0.0,0.01887539295631724,-0.0038258920257444595,0.0,-3.8258920257550066e-05,4.212161923192875e-05,0.018871530257342672,-731053.3369393498
grid_200m,w40,40,43,0.6609484411183081,3.4346889685064697,1.0,400,400,0,0.619456512858173,0.004384016262731079,0.03710791199740386,28111181.35737474,0.0,0.0,0.0,0.0,0.6544741795659569,2.920784566520928,1.0,400,400,0,0.6143174688383176,0.004580234224278104,0.03557647650336107,43170848.80002158,0.0,0.0,0.0,0.0,0.0064742615523512015,0.5139044019855414,0.0,0.005139044019855432,-0.00019621796154702456,0.0015314354940427904,-15059667.442646842
grid_200m,w40,40,44,0.6582939495057575,1.2151619923486396,1.0,400,400,0,0.5887620327263979,0.004987023612503704,0.06454489316685587,87900479.09050268,0.0,0.0,0.0,0.0,0.6455557467316893,1.0934748208995586,1.0,400,400,0,0.5875451610119071,0.005092963139759379,0.052917622580022756,94871674.03608032,0.0,0.0,0.0,0.0,0.01273820277406823,0.12168717144908103,0.0,0.0012168717144908081,-0.00010593952725567509,0.011627270586833112,-6971194.945577636
grid_200m,w40,40,45,0.6544656745429421,3.1365798786902666,1.0,400,400,0,0.6118432751336759,0.004628567154437811,0.03799383225482824,30665481.805777572,0.0,0.0,0.0,0.0,0.6453076792844741,2.3226028844348927,1.0,400,400,0,0.6037035051911223,0.004866685356012378,0.03673748873733947,63685754.023623616,0.0,0.0,0.0,0.0,0.009157995258468055,0.8139769942553738,0.0,0.00813976994255361,-0.00023811820157456764,0.0012563435174887672,-33020272.217846043
grid_200m,w40,40,46,0.6743175337496972,2.723138004854528,1.0,400,400,0,0.6177518097190975,0.004650994686277987,0.05191472934432164,43445992.774100125,0.0,0.0,0.0,0.0,0.6641629215563765,1.1540458747223818,1.0,400,400,0,0.602060888417776,0.005053159235304848,0.057048873903295584,90455790.02441742,0.0,0.0,0.0,0.0,0.0101546121933207,1.569092130132146,0.0,0.015690921301321437,-0.0004021645490268613,-0.005134144558973944,-47009797.25031729
