run_id,algorithm,scenario,workload,seed,checkpoint_path,checkpoint_sha256,model_parameter_hash,realization_path,realization_sha256,git_commit,mean_delay_s,mean_energy_j,completion_ratio,action_sequence_sha256
phase7_Greedy_corridor_2400m_w20_seed46,Greedy,corridor_2400m,20,46,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_46.json,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,4e25265,2.033224125426783,7.238843651456364,0.975,3770c6568bce64a0782fc4c32c2ac29cdc5fa4b3de4c381e9afb2e00c2563a6d
phase7_wo_md_corridor_2400m_w20_seed46,wo_md,corridor_2400m,20,46,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed46\checkpoint.pt,c04d6d773da2e4523a71e672307b263345e340bad9b2bab9dceaad44af517a58,e5e9463dfcd453ba477017f3870d840b4a98a97d881457b92073153438774e9b,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_46.json,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,4e25265,2.0146088881250095,4.893763607086946,0.975,4e32321ca7e20e5706b792317c4daf3e4d4c988527581c7aa7924f19e3fce6c4
phase7_wo_tp_corridor_2400m_w20_seed46,wo_tp,corridor_2400m,20,46,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed46\checkpoint.pt,c04d6d773da2e4523a71e672307b263345e340bad9b2bab9dceaad44af517a58,e5e9463dfcd453ba477017f3870d840b4a98a97d881457b92073153438774e9b,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_46.json,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,4e25265,2.0146088881250095,4.893763607086946,0.975,4e32321ca7e20e5706b792317c4daf3e4d4c988527581c7aa7924f19e3fce6c4
phase7_wo_co_corridor_2400m_w20_seed46,wo_co,corridor_2400m,20,46,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_46.json,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,4e25265,2.0066860568603,0.2951673323208539,0.975,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8
phase7_CoTOP_corridor_2400m_w20_seed47,CoTOP,corridor_2400m,20,47,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed42\checkpoint.pt,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,3636d7af6c6dde52824fedab58e500423c851c3d625ee5b1f9b778c0223551bb,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed47.json,50af9e828670c1407dcb0ebe449032456bdc6adca8450a9be42aec0f04c41523,4e25265,1.8815055614065241,5.138997090932265,0.995,a43ee19164fc00cfa1076eb9a4a6b2e9a7e33c62f70149083bbc613834f10a2c
phase7_DDQN_corridor_2400m_w20_seed47,DDQN,corridor_2400m,20,47,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w20_seed42\checkpoint.pt,b04e1bba428f54bf426cdf4b53547bec3e56cae50ad9d03a610da368ce7ea131,ed7f956f937c4d7d3cee032626ad6e4114ce9dc3644765505969400e9c07278b,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed47.json,50af9e828670c1407dcb0ebe449032456bdc6adca8450a9be42aec0f04c41523,4e25265,1.8560215803197295,6.320161328851689,0.995,1aa979abd4f5d5725eb7922cd74c2ad7274ccd24d3a5fdc17c6995cf58f2d988
phase7_Local_corridor_2400m_w20_seed47,Local,corridor_2400m,20,47,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed47.json,50af9e828670c1407dcb0ebe449032456bdc6adca8450a9be42aec0f04c41523,4e25265,1.8388560623367396,0.2982780014759372,0.995,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8
phase7_Greedy_corridor_2400m_w20_seed47,Greedy,corridor_2400m,20,47,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed47.json,50af9e828670c1407dcb0ebe449032456bdc6adca8450a9be42aec0f04c41523,4e25265,1.8585277370927147,7.08463884601108,0.995,e067b428c27d617b6740449d53cacf7c0e3714414bbb5977d659d18c859e8cc5
phase7_wo_md_corridor_2400m_w20_seed47,wo_md,corridor_2400m,20,47,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed42\checkpoint.pt,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,3636d7af6c6dde52824fedab58e500423c851c3d625ee5b1f9b778c0223551bb,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed47.json,50af9e828670c1407dcb0ebe449032456bdc6adca8450a9be42aec0f04c41523,4e25265,1.8815055614065241,5.138997090932265,0.995,a43ee19164fc00cfa1076eb9a4a6b2e9a7e33c62f70149083bbc613834f10a2c
phase7_wo_tp_corridor_2400m_w20_seed47,wo_tp,corridor_2400m,20,47,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed42\checkpoint.pt,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,3636d7af6c6dde52824fedab58e500423c851c3d625ee5b1f9b778c0223551bb,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed47.json,50af9e828670c1407dcb0ebe449032456bdc6adca8450a9be42aec0f04c41523,4e25265,1.8815055614065241,5.138997090932265,0.995,a43ee19164fc00cfa1076eb9a4a6b2e9a7e33c62f70149083bbc613834f10a2c
phase7_wo_co_corridor_2400m_w20_seed47,wo_co,corridor_2400m,20,47,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed47.json,50af9e828670c1407dcb0ebe449032456bdc6adca8450a9be42aec0f04c41523,4e25265,1.8388560623367396,0.2982780014759372,0.995,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8
phase7_CoTOP_corridor_2400m_w20_seed48,CoTOP,corridor_2400m,20,48,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed42\checkpoint.pt,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,3636d7af6c6dde52824fedab58e500423c851c3d625ee5b1f9b778c0223551bb,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed48.json,9757e1a7d84034e343dc030c3e6c8a5c6860300a600f680f82b581bd2d517bff,4e25265,2.024876832208712,4.193574514087303,0.98,ae17ec15f4f02b9873024b8e4711a5774ce6213728861b74b42eccdaf84064ba
phase7_DDQN_corridor_2400m_w20_seed48,DDQN,corridor_2400m,20,48,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w20_seed42\checkpoint.pt,b04e1bba428f54bf426cdf4b53547bec3e56cae50ad9d03a610da368ce7ea131,ed7f956f937c4d7d3cee032626ad6e4114ce9dc3644765505969400e9c07278b,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed48.json,9757e1a7d84034e343dc030c3e6c8a5c6860300a600f680f82b581bd2d517bff,4e25265,2.0049573014398585,6.2427232825003465,0.98,283eb2d14535494a71cc005b927392d885144735c9a681d66f19f3a6f7eb9dae
phase7_Local_corridor_2400m_w20_seed48,Local,corridor_2400m,20,48,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed48.json,9757e1a7d84034e343dc030c3e6c8a5c6860300a600f680f82b581bd2d517bff,4e25265,1.991701198509607,0.31433697452170045,0.98,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8
phase7_Greedy_corridor_2400m_w20_seed48,Greedy,corridor_2400m,20,48,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_seed48.json,9757e1a7d84034e343dc030c3e6c8a5c6860300a600f680f82b581bd2d517bff,4e25265,2.011337301883653,7.463506249964748,0.98,8daa9357a0019ed2d720c0c1044377166b3988aa9f5ca0091ed9e26c1a165256
