run_id,algorithm,scenario,workload,seed,status,realization_sha256,checkpoint_sha256,git_sha,tasks_generated,tasks_completed,tasks_failed,completion_ratio,mean_delay_s,std_delay_s,mean_energy_j,std_energy_j,comm_delay_s,comp_delay_s,wait_delay_s,comm_energy_j,comp_energy_j,local_energy_j,r2r_energy_j,total_reward,fail_deadlines,fail_coverages,fail_duals,fail_departures,param_immutable
corridor_2400m_Greedy_w20_seed49,Greedy,corridor_2400m,w20,49,COMPLETED,9d50cb88a164bf17221658f0a03647330463f75de2718ebb6db631731380901a,,441296f18f1eddf09c399ac1840827d5a48b034d,200,199,1,0.995,1.9031830317458007,1.5490909973256857,6.66648020626578,4.001594150197532,1.8912059570499724,0.0048895345975653,0.0070875400982632,2.687877830304344,2.653820633827493,0.0425714955960638,1.3247817421339434,-947.6422914360812,0,1,0,0,True
corridor_2400m_Local_w20_seed49,Local,corridor_2400m,w20,49,COMPLETED,9d50cb88a164bf17221658f0a03647330463f75de2718ebb6db631731380901a,,441296f18f1eddf09c399ac1840827d5a48b034d,200,199,1,0.995,1.8836514510679925,1.546865814777169,0.2903219639375891,0.1276662380499375,1.8274443746266904,0.0054409504038264,0.0507661260374754,0.2612897675438301,0.0290321963937589,0.2903219639375891,0.0,-314.21568853875755,0,1,0,0,True
corridor_2400m_CoTOP_w20_seed50,CoTOP,corridor_2400m,w20,50,COMPLETED,849bbd6262223a1eaf11801a36215c5bcc20e3ebaceaab44474c99a38821e3d9,,441296f18f1eddf09c399ac1840827d5a48b034d,200,196,4,0.98,1.9818017494852096,1.654375014005952,4.6116175406370425,5.260967848210197,1.955905701199574,0.0052564155998808,0.0206396326857551,1.890985561020765,1.816843889395248,0.0926770895318968,0.9037880902210292,-1040.1600871961716,0,4,0,0,True
corridor_2400m_DDQN_w20_seed50,DDQN,corridor_2400m,w20,50,COMPLETED,849bbd6262223a1eaf11801a36215c5bcc20e3ebaceaab44474c99a38821e3d9,,441296f18f1eddf09c399ac1840827d5a48b034d,200,196,4,0.98,1.9818017494852096,1.654375014005952,4.6116175406370425,5.260967848210197,1.955905701199574,0.0052564155998808,0.0206396326857551,1.890985561020765,1.816843889395248,0.0926770895318968,0.9037880902210292,-1040.1600871961716,0,4,0,0,True
corridor_2400m_Greedy_w20_seed50,Greedy,corridor_2400m,w20,50,COMPLETED,849bbd6262223a1eaf11801a36215c5bcc20e3ebaceaab44474c99a38821e3d9,,441296f18f1eddf09c399ac1840827d5a48b034d,200,196,4,0.98,1.9933002631589092,1.6579896951006703,7.281043052326202,4.228758886443408,1.9825999563164656,0.0050139131446367,0.0056863936978069,2.9322778020579108,2.900500872254024,0.0397211622548581,1.448264378014269,-1287.055499740578,0,4,0,0,True
corridor_2400m_Local_w20_seed50,Local,corridor_2400m,w20,50,COMPLETED,849bbd6262223a1eaf11801a36215c5bcc20e3ebaceaab44474c99a38821e3d9,,441296f18f1eddf09c399ac1840827d5a48b034d,200,196,4,0.98,1.971743021143073,1.6561640468185554,0.2983260109730319,0.1273792313128623,1.912772785902934,0.00558396566228,0.0533862695778599,0.2684934098757287,0.0298326010973031,0.2983260109730319,0.0,-614.1353026630416,0,4,0,0,True
corridor_2400m_CoTOP_w20_seed51,CoTOP,corridor_2400m,w20,51,COMPLETED,2935371bd9ebe8c927b5d43ef91fe24e1c705a78645f3886de56da3ef04b4230,,441296f18f1eddf09c399ac1840827d5a48b034d,200,199,1,0.995,2.085536377717744,1.545858624060823,7.962968113379389,3.723099992619089,2.040874681690328,0.0048970905959573,0.0397646054314598,3.1851872453517545,3.1851872453517545,0.0,1.5925936226758772,-1097.8713238518833,0,1,0,0,True
corridor_2400m_DDQN_w20_seed51,DDQN,corridor_2400m,w20,51,COMPLETED,2935371bd9ebe8c927b5d43ef91fe24e1c705a78645f3886de56da3ef04b4230,,441296f18f1eddf09c399ac1840827d5a48b034d,200,199,1,0.995,2.085536377717744,1.545858624060823,7.962968113379389,3.723099992619089,2.040874681690328,0.0048970905959573,0.0397646054314598,3.1851872453517545,3.1851872453517545,0.0,1.5925936226758772,-1097.8713238518833,0,1,0,0,True
corridor_2400m_Greedy_w20_seed51,Greedy,corridor_2400m,w20,51,COMPLETED,2935371bd9ebe8c927b5d43ef91fe24e1c705a78645f3886de56da3ef04b4230,,441296f18f1eddf09c399ac1840827d5a48b034d,200,199,1,0.995,2.044608269169775,1.5553554133672407,6.988134428523741,4.265048555342294,2.0311263448417707,0.0048923676416168,0.0085895566863877,2.8171849642696394,2.782095055693411,0.0438623857202856,1.388854408560691,-994.421636317544,0,1,0,0,True
corridor_2400m_Local_w20_seed51,Local,corridor_2400m,w20,51,COMPLETED,2935371bd9ebe8c927b5d43ef91fe24e1c705a78645f3886de56da3ef04b4230,,441296f18f1eddf09c399ac1840827d5a48b034d,200,200,0,1.0,2.021490937288677,1.553860271357261,0.2939592422486318,0.1333562369709906,1.9641845929790196,0.0054863479263768,0.051819996383281,0.2645633180237686,0.0293959242248631,0.2939592422486318,0.0,-231.54501795373088,0,0,0,0,True
