task_index,action,case,delay_s,energy_j,comm_delay_s,comp_delay_s,wait_delay_s,completed,failure_reason
190,1,1,1.8150400841260517,0.11647934428790362,1.7834906941980657,0.0019728887469184593,0.029576501181067482,True,NONE
191,5,2,1.580086486554571,11.12266655746657,1.5546964486779338,0.0049201704370350485,0.020469867439602017,True,NONE
192,0,1,1.1728131950275351,0.48794547241865965,1.131731241899556,0.009532563199993281,0.03154938992798594,True,NONE
193,5,2,1.3678878769516958,9.567189078034016,1.3384267585013074,0.004071080573751548,0.025390037876637062,True,NONE
194,5,2,1.1325343312374474,8.068895224320764,1.0948927215756061,0.008180491211452869,0.029461118450388613,True,NONE
195,1,1,1.1404128356278964,0.3355776458753527,1.0928378971618427,0.006492985338074686,0.04108195312797922,True,NONE
196,1,1,1.2635153527446408,0.37761898525474674,1.208629760525597,0.007310653752989815,0.0475749384660539,True,NONE
197,1,1,0.8929492495313658,0.36311595439999067,0.8309675317306683,0.007096125581653679,0.05488559221904372,True,NONE
198,2,2,0.9782502933849251,4.412920827183725,0.9621625218876807,0.008652639151799167,0.0074351323454452155,True,NONE
199,3,2,0.9468588089744756,5.22650093874821,0.9402136274140662,0.0066451815604093994,0.0,True,NONE
