task_id,vehicle_id,task_size_mb,task_cpu_gcycles,deadline_s,primary_rsu,local_action,collab_action,local_case,collab_case,local_secondary_rsu,collab_secondary_rsu,local_delay_s,collab_delay_s,delay_diff_s,local_energy_j,collab_energy_j,energy_diff_j,local_completed,collab_completed,local_fail_reason,collab_fail_reason
28,veh_1,2788224.825568806,9080405.952422293,25.845859902235404,0,0,2,1,2,NONE,1,2.215891330267025,2.183195718700111,-0.03269561156691392,0.4750450887171587,2.8760949651569017,2.401049876439743,True,True,NONE,NONE
31,veh_1,2328947.3910519774,8128714.279266677,26.2744604170309,0,0,2,1,2,NONE,1,1.877698900451555,1.8369839134219312,-0.04071498702962373,0.42399729361843047,2.429545337750505,2.0055480441320745,True,True,NONE,NONE
47,veh_2,4297503.287920963,5277541.402888582,21.28391464499763,0,0,2,1,2,NONE,1,1.7245962935613979,1.7986112699997274,0.07401497643832955,0.28107025766601423,7.682567901498956,7.401497643832942,True,True,NONE,NONE
59,veh_2,4422490.99329993,1872377.32805941,21.904099143618776,0,0,2,1,2,NONE,1,1.776472985313445,1.852640598166203,0.07616761285275797,0.11131209706879547,7.728073382344594,7.616761285275799,True,True,NONE,NONE
44,veh_2,4494996.588083538,1521326.4984476878,23.075141254026615,0,0,2,1,2,NONE,1,1.8070019053833155,1.8844182665278175,0.07741636114450201,0.0940496315239236,7.8356857459741285,7.741636114450205,True,True,NONE,NONE
50,veh_2,4189793.2072699284,3805446.6217080546,22.01151063389696,0,0,2,1,2,NONE,1,1.688703455696227,1.7608633645412484,0.07215990884502133,0.20703459872385396,7.423025483225993,7.21599088450214,True,True,NONE,NONE
51,veh_2,4985448.069982683,4942900.755230537,26.498780576394534,0,0,2,1,2,NONE,1,2.011967072936574,2.097830374652114,0.08586330171553991,0.26709051256482924,8.853420684118838,8.586330171554009,True,True,NONE,NONE
42,veh_2,3591061.0165855326,3917404.513042058,20.005718961279435,0,0,2,1,2,NONE,1,1.4580266590714064,1.519874731946242,0.061848072874835625,0.21023712227162317,6.3950444097551875,6.184807287483564,True,True,NONE,NONE
41,veh_2,4287532.400225454,8007638.3076750245,25.39379030119626,0,0,2,1,2,NONE,1,1.7446742960033066,1.818517545983642,0.07384324998033542,0.4175352119895138,7.8018602100230545,7.384324998033541,True,True,NONE,NONE
52,veh_2,3552727.5231067715,3022276.033284016,21.21004195868266,0,0,2,1,2,NONE,1,1.4537203445003304,1.5149082078473213,0.06118786334699089,0.16532733599460075,6.284113670693695,6.118786334699094,True,True,NONE,NONE
46,veh_2,3457971.3899498414,7845419.487315084,20.692125184683835,0,0,2,1,2,NONE,1,1.4236563115209888,1.4832122103311034,0.05955589881011458,0.4061054141714876,6.361695295182927,5.95558988101144,True,True,NONE,NONE
48,veh_2,3649410.780484832,8851897.369767316,22.65056628940059,0,0,2,1,2,NONE,1,1.509098105860408,1.5719511241909756,0.06285301833056756,0.45719520726379564,6.742497040320541,6.285301833056745,True,True,NONE,NONE
45,veh_2,4634028.797612121,1770881.068610909,29.46949445297994,0,0,2,1,2,NONE,1,1.904788923027323,1.9845998060658163,0.07981088303849337,0.1070835915669584,8.088171895416309,7.981088303849351,True,True,NONE,NONE
58,veh_2,3713129.2799758534,8061574.81861678,24.72671026311794,0,0,2,1,2,NONE,1,1.544422668139325,1.6083730965060334,0.0639504283667085,0.41793400077018583,6.812976837441039,6.395042836670854,True,True,NONE,NONE
49,veh_2,3269413.820602661,5853664.799015125,22.11798205442082,0,0,2,1,2,NONE,1,1.3727573739494743,1.4290657862267158,0.05630841227724148,0.3057633102002144,5.936604537924366,5.630841227724152,True,True,NONE,NONE
60,veh_2,3293153.5472191325,5203222.012330075,24.23578623019921,0,0,2,1,2,NONE,1,1.387458240153849,1.4441755166456007,0.05671727649175162,0.27333614730788236,5.945063796483047,5.671727649175164,True,True,NONE,NONE
54,veh_2,2660652.1533546783,6679926.615430891,20.709930860090324,0,0,2,1,2,NONE,1,1.1410908892269642,1.1869147300125302,0.045823840785566006,0.3446409046874999,4.927024983244109,4.582384078556609,True,True,NONE,NONE
57,veh_2,2642710.4221113157,9419628.165226039,21.323118487250248,0,0,2,1,2,NONE,1,1.1433324996208938,1.18884733382141,0.045514834200516274,0.48155420199954435,5.033037622051182,4.551483420051638,True,True,NONE,NONE
53,veh_2,3014256.686442366,3071032.593369193,25.883087184572332,0,0,2,1,2,NONE,1,1.2950494823766086,1.346963378115369,0.051913895738760374,0.16561088290832557,5.35700045678436,5.191389573876035,True,True,NONE,NONE
