experiment_id,source_artifact,algorithm,geometry,workload,seed,realization_hash,checkpoint_hash,git_sha,tasks_generated,tasks_completed,completion_ratio,mean_delay_s,mean_energy_j,comm_delay_s,comp_delay_s,wait_delay_s
grid_200m_CoTOP_w40_seed0,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w40,0,46148cdd621e3648e3a6a785cc820a9b28fcaa477017e5adb878ef20b20fa801,d5a367cb8bd99814b1b1ff68c8e950a5246b47cd23441c7943d90bff1c7be326,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.291,1.9406,0.2715,0.0196,0.0
grid_200m_CoTOP_w40_seed1,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w40,1,f01abcdc5304947d68420ab99e942b03822d59e1f8f5122d72a3eb78941cce87,0964b1d4c94bf289fee30238fd182b148d3353efa9e247d79062103e4eb8357b,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.2923,1.813,0.2739,0.0184,0.0
grid_200m_CoTOP_w40_seed2,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w40,2,dfd7bcdf0c438435dc405758f14299f466ecdcbd7f33db975e56ac9df176f7f8,1659f7ddf0bc1a0f7bfa1c548cbd1b37a175a05a2c946d1f073ef5910fba2290,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.2816,1.7697,0.2637,0.018,0.0
grid_200m_CoTOP_w40_seed3,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w40,3,3de53f2e8034c1901186409f18d123f303fdccd765e32458dd4a815d43815382,d1df4e67139cca3033bd4edf9eeab2885cc84f96ffc59faef5ad0622058155ed,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.277,1.9827,0.2572,0.0199,0.0
grid_200m_CoTOP_w40_seed4,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w40,4,ed764142a785113bdb59d6698df8a30d858931050450763aead92a4f5c28d817,70c209b0bd31b7e8aca5fa0fcb1e5f187d1eade9bd8287391bbdba84216d02ce,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.2753,0.1392,0.2726,0.0027,0.0
grid_200m_DDQN_w20_seed0,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,grid_200m,w20,0,20c11357f4d1d844b7a44ea5044c04fcb20af065fe6249474ab04119eab214b9,4088627e0f00132ada4eac49de507f634c10a1940de468d918d8537a1cfe23fd,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.2677,0.1404,0.265,0.0028,0.0
grid_200m_DDQN_w20_seed1,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,grid_200m,w20,1,8490421c85eda64a853c6814ddd2e254df30cc816592cce1d778e8380c6fe3ed,b7427666112b9205b777ad61e052863a77378e8f37bf3c03ca3f9c29ddaf1ba5,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.2619,0.1411,0.2591,0.0028,0.0
grid_200m_DDQN_w20_seed2,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,grid_200m,w20,2,baaf5ad60a61abf81aa6420695172ae5a225d02d51c1d9a9e809af740910c3d9,4d220012be4defe3e3e958d996f2afd58fcdcdf055b1b484c7c69c5b19dd8574,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.2501,0.1422,0.2473,0.0028,0.0
grid_200m_DDQN_w20_seed3,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,grid_200m,w20,3,c87ffc566d12c41fee78283f3c9d06bdd7cbaab0827f9c2786b56392a69c3dd8,5869653c1f4d00d65a5edfced24a3d23dc528b704fce97448694209d96133c1c,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.2361,0.1363,0.2334,0.0027,0.0
grid_200m_DDQN_w20_seed4,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,grid_200m,w20,4,589d34324abcbcb03a8e18913ab924daff3f3d52913d345a584e667191895189,0a1e55bbe9f52d751271a881de28eca3fd25bf3ee95aa8f0fb3d6106964e02b1,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.268,0.138,0.2653,0.0027,0.0
