ablation_condition,geometry,workload,seed,realization_hash,mean_delay,std_delay,mean_energy,std_energy,completion_ratio,collab_ratio,N_generated,N_completed,N_failed,disabled_code_path,invariants_passed
Full CoTOP,grid_200m,40,2,dfd7bcdf0c438435dc405758f14299f466ecdcbd7f33db975e56ac9df176f7f8,0.4086,0.1129,1.7697,1.0526,1.0,0.7525,400,400,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,40,2,dfd7bcdf0c438435dc405758f14299f466ecdcbd7f33db975e56ac9df176f7f8,0.8388,0.3199,3.4006,2.0953,1.0,0.7525,400,400,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,40,2,dfd7bcdf0c438435dc405758f14299f466ecdcbd7f33db975e56ac9df176f7f8,0.4157,0.1343,1.7697,1.0526,1.0,0.7525,400,400,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,40,2,dfd7bcdf0c438435dc405758f14299f466ecdcbd7f33db975e56ac9df176f7f8,0.3821,0.1223,0.1389,0.0638,1.0,0.0,400,400,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,grid_200m,40,3,3de53f2e8034c1901186409f18d123f303fdccd765e32458dd4a815d43815382,0.3026,0.1028,1.9827,0.7003,1.0,0.935,400,400,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,40,3,3de53f2e8034c1901186409f18d123f303fdccd765e32458dd4a815d43815382,0.8371,0.3327,3.827,1.3995,1.0,0.935,400,400,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,40,3,3de53f2e8034c1901186409f18d123f303fdccd765e32458dd4a815d43815382,0.3197,0.1083,1.9827,0.7003,1.0,0.935,400,400,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,40,3,3de53f2e8034c1901186409f18d123f303fdccd765e32458dd4a815d43815382,0.3693,0.1333,0.1383,0.0682,1.0,0.0,400,400,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,grid_200m,40,4,ed764142a785113bdb59d6698df8a30d858931050450763aead92a4f5c28d817,0.3989,0.1373,0.1392,0.0642,1.0,0.0,400,400,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,40,4,ed764142a785113bdb59d6698df8a30d858931050450763aead92a4f5c28d817,0.3989,0.1373,0.1392,0.0642,1.0,0.0,400,400,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,40,4,ed764142a785113bdb59d6698df8a30d858931050450763aead92a4f5c28d817,0.4011,0.1389,0.1392,0.0642,1.0,0.0,400,400,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
